@relation .a/eda_raw_ml/eda_raw_ml
@attribute Sound real [46.22267342, 79.2527832]
@attribute Dust real [0.02916129, 0.39787096]
@attribute TempEN real [10.521, 26.891]
@attribute RH real [17.24, 60.8856]
@attribute Light real [287.76, 32280.1]
@attribute EDA_level {HIGH, NORM, LOW}
@data
61.2624855,0.059483872,12.896,46.1454,3103.82,NORM
64.0842509,0.038064516,13.161,45.6424,3062.84,NORM
63.96153717,0.048838708,12.9056,43.8914,519.54,LOW
59.10188828,0.042838708,12.514,47.0662,2933.54,NORM
59.78002701,0.039462365,17.0294,54.4764,4753.1,LOW
61.88034007,0.0387957,16.4918,53.9818,4759.44,HIGH
56.37500162,0.041290322,21.056,35.216,1009.92,HIGH
61.54700877,0.039440859,21.0368,34.8782,942.14,HIGH
57.78871536,0.042735485,16.7916,43.7234,6009.78,NORM
60.6646431,0.08303226,19.2366,33.99,17215.76,HIGH
56.00000038,0.045419354,20.3976,32.3848,1061.94,NORM
59.64777298,0.079225807,19.1986,35.1164,9330.42,NORM
59.63157883,0.044877419,19.746,32.9156,1230.66,NORM
62.41025543,0.04483871,19.7364,32.3324,1098.2,NORM
55.4850882,0.044451613,21.5854,29.5718,472.26,NORM
54.12417793,0.043806453,21.8766,29.737,1892.9,HIGH
63.85367126,0.044129033,13.882,47.7572,4902.92,NORM
63.15206375,0.249935482,18.1048,38.188,3092.8,NORM
65.67277095,0.054946234,19.5648,36.5798,4019.94,NORM
58.79757156,0.155225806,17.7864,40.503,2473.14,LOW
57.98245646,0.047096772,23.1408,34.7002,4928.14,HIGH
57.98223101,0.045741935,22.537,36.052,1620.1,LOW
66.08333588,0.047225805,23.689,33.1868,7884.56,HIGH
61.82051353,0.085600003,24.1658,31.9174,8573.62,NORM
60.88461456,0.047870966,24.9728,30.7024,1776.2,NORM
58.9001339,0.052193546,25.084,30.8732,4846.16,LOW
67.34022522,0.06045161,24.7162,30.9366,8262.96,LOW
64.59523811,0.061290323,25.4334,30.6734,6586.88,LOW
64.42033005,0.098903225,18.1524,31.0476,17832.28,NORM
55.89473686,0.060483871,17.572,27.7496,864.86,NORM
52.734375,0.092387098,19.1318,27.2158,2107.34,HIGH
56.55263252,0.049548387,19.4792,26.9468,9923.28,NORM
