@relation .a/eda_raw_ml/eda_raw_ml
@attribute Sound real [46.22267342, 79.2527832]
@attribute Dust real [0.02916129, 0.39787096]
@attribute TempEN real [10.521, 26.891]
@attribute RH real [17.24, 60.8856]
@attribute Light real [287.76, 32280.1]
@attribute EDA_level {HIGH, NORM, LOW}
@data
54.3125,0.050129031,19.8554,31.4342,1525.52,NORM
62.74359029,0.046580644,18.823,33.2734,2567.74,NORM
56.57669881,0.053032258,17.6672,35.6872,3417.64,NORM
57.78947449,0.043096773,17.1058,36.6332,3119.58,NORM
59.10728683,0.049419355,15.9484,38.8968,1435.64,NORM
61.1623937,0.041333333,14.4188,42.0202,1405.7,NORM
60.62415771,0.043677418,14.649,42.5662,3554.8,NORM
57.47368495,0.042193547,14.5434,42.0982,4442.5,NORM
62.32051315,0.062,14.6442,41.6656,3948.98,LOW
57.02631607,0.039354838,14.4618,42.0696,2496.8,NORM
57.28070246,0.076731187,14.3044,43.5114,1233.78,NORM
71.42190552,0.06735484,13.473,44.3798,3196.9,NORM
60.36504822,0.046903226,13.1994,45.4912,1446.68,NORM
60.94298401,0.066322583,12.7078,46.3516,2269.74,NORM
56.78947474,0.060774192,12.7558,46.1466,2756.96,NORM
64.84981486,0.046838709,12.799,46.2326,4087.74,NORM
60.22996002,0.055161289,12.8614,46.2716,3524.82,NORM
64.19658152,0.074967738,12.9344,45.9818,2733.32,NORM
61.69047737,0.039290323,13.0208,46.1734,1713.16,NORM
62.16734161,0.060946236,12.823,46.3416,2506.24,NORM
58.38191579,0.068795698,12.8038,46.4636,2529.9,NORM
64.41513926,0.059612902,12.654,46.3944,2279.18,NORM
62.23076859,0.082580648,12.63,46.2612,797.04,NORM
60.54151962,0.08404301,12.5628,46.8552,3382.92,NORM
59.07422409,0.049032258,12.5628,47.4502,2086.84,NORM
59.21997261,0.040903224,12.683,46.8454,672.48,NORM
61.17948723,0.037032258,12.678,46.6898,489.6,NORM
60.73144341,0.050709675,18.7944,30.5192,735.56,HIGH
61.02564163,0.066967741,18.457,31.1268,640.96,HIGH
62.26495743,0.035741936,18.0146,31.5054,885.36,LOW
61.09401652,0.040688172,17.32,33.1614,593.62,LOW
52.140625,0.04232258,16.9534,33.8748,469.08,HIGH
59.34699605,0.073548385,16.844,33.9036,484.84,LOW
53.625,0.069419356,16.0532,36.0804,500.62,LOW
61.01282082,0.047741936,15.6426,37.1454,812.82,LOW
60.70467898,0.044967741,15.4662,37.5142,784.44,LOW
62.8461525,0.039225806,15.4092,37.3796,506.92,HIGH
61.52564087,0.038967741,15.1126,37.6644,363.44,HIGH
53.5,0.04916129,14.888,38.0204,834.86,LOW
62.89743729,0.06980645,14.745,38.5444,789.18,HIGH
62.04520887,0.058494624,14.6826,38.5766,495.9,LOW
63.85714162,0.037010753,14.3278,39.3958,558.96,HIGH
63.79487101,0.048817202,13.9012,40.5594,546.36,HIGH
61.01196503,0.044580644,13.5892,42.0392,529.0,HIGH
62.73076782,0.066709676,13.425,42.2664,505.34,LOW
64.60683924,0.050795698,12.92,43.366,308.28,LOW
64.28205261,0.060903226,12.92,43.2026,710.32,LOW
62.60439606,0.044516129,12.847,44.1854,729.24,LOW
61.4615387,0.038580645,12.847,44.392,374.5,NORM
61.99999924,0.05419355,12.8566,44.2678,803.34,LOW
60.62370644,0.044752689,12.9056,44.0356,527.44,LOW
53.875,0.042193548,17.0108,37.0972,2510.98,NORM
53.36129379,0.043591397,16.701,38.0872,2156.22,NORM
62.39316152,0.04064516,15.6952,41.1416,2741.18,HIGH
62.93406601,0.039612904,15.0698,42.2282,2941.42,NORM
61.65384636,0.041741936,14.754,43.1034,4369.96,NORM
59.11560898,0.034580646,13.978,45.0368,3154.32,NORM
53.4375,0.033870969,12.6156,49.6286,2383.28,NORM
56.96929779,0.035419355,12.5142,49.94,4235.94,NORM
58.71052704,0.036774193,12.582,49.033,4053.04,NORM
57.78947296,0.061741937,12.529,49.4018,4420.42,NORM
60.94736786,0.038645161,12.389,49.8618,1918.1,NORM
62.69408951,0.032387096,12.364,49.9014,1733.66,NORM
62.16358337,0.037419354,12.364,49.9628,2272.9,NORM
61.3200634,0.100731183,12.316,50.459,2542.52,NORM
55.51973686,0.043204301,11.9962,50.9104,4581.24,NORM
63.46963425,0.034021504,11.9434,51.007,4237.5,NORM
66.74267349,0.033419355,11.783,52.0688,3289.9,NORM
61.37179489,0.047741936,11.555,53.9684,2690.72,NORM
59.96086349,0.033032258,11.4576,53.465,3442.84,NORM
54.40789413,0.051612902,11.394,53.2624,3963.16,NORM
58.47908351,0.035913977,11.3114,53.1114,3805.52,NORM
63.26923027,0.036967742,10.8878,55.1628,2181.42,NORM
62.11111094,0.041634407,10.883,54.868,2400.58,NORM
57.21710587,0.030167741,10.873,54.9148,2913.06,NORM
62.05128326,0.052516127,10.81,55.457,1407.26,NORM
61.48717918,0.057935486,10.785,55.651,2575.62,LOW
56.44736824,0.031690321,10.751,55.9094,3393.96,HIGH
59.96288948,0.035870968,10.663,56.3914,3647.8,NORM
63.89743805,0.042193547,10.736,56.289,3737.68,NORM
63.11538467,0.035612904,10.7264,56.1504,1516.04,NORM
64.81044235,0.05283871,10.653,56.9504,2477.86,LOW
59.67071533,0.034735484,10.565,56.8292,1738.36,LOW
60.01282005,0.035870968,14.8448,44.3002,5402.74,NORM
60.40958138,0.141548388,14.9024,44.326,7086.7,NORM
59.93522301,0.050709675,14.481,44.9918,4622.24,LOW
57.78789902,0.035806451,14.4666,44.5504,4385.74,LOW
57.11403605,0.039376344,13.8244,46.4616,4205.98,NORM
59.76746025,0.036670968,13.858,46.2726,4327.4,NORM
63.03846207,0.035690322,13.8388,46.37,5866.3,NORM
52.50568182,0.035612904,13.6324,46.7176,3099.12,NORM
66.26066325,0.035397848,13.2234,46.9828,4410.96,LOW
62.13450394,0.043956989,12.92,47.6446,6831.26,NORM
60.88056793,0.034387096,12.823,47.892,6873.86,NORM
58.68758469,0.03348387,12.606,49.6824,3575.28,NORM
60.36752116,0.037634409,18.1712,33.9952,1743.1,NORM
55.68421021,0.051032258,16.7346,36.4012,2780.62,NORM
56.71052666,0.04264516,16.6252,37.084,3036.04,NORM
56.76315804,0.044258065,16.082,37.623,3028.16,NORM
60.63450254,0.077548385,15.0264,40.519,2775.86,NORM
55.34868546,0.047612902,14.936,41.4954,3056.54,NORM
55.81250153,0.100580642,14.9312,40.9542,3160.6,NORM
63.20512924,0.074580647,14.5722,41.9048,2228.74,NORM
55.73945618,0.07883871,13.9348,43.8388,5636.1,NORM
60.1605938,0.060709676,13.8724,44.064,5476.84,NORM
57.5526329,0.04916129,13.8484,44.1552,4308.48,NORM
56.01754379,0.081505377,13.786,44.129,2126.24,LOW
53.89144707,0.039419355,13.7668,43.781,2780.6,HIGH
62.42307587,0.039032258,13.473,45.5318,2723.86,NORM
53.61513176,0.044000001,13.4586,45.661,2260.3,NORM
55.56140442,0.036731183,13.4442,45.197,3824.42,NORM
60.114711,0.045075268,13.3962,44.7966,3444.4,NORM
60.69995448,0.038064516,13.377,44.738,3871.72,NORM
55.240131,0.053870968,13.3626,45.2432,3805.48,NORM
56.43859533,0.074193546,13.3722,45.369,3627.32,NORM
57.03508809,0.036064516,13.3722,45.4252,3797.6,NORM
61.512146,0.049999999,13.088,45.0466,5342.82,LOW
61.07692261,0.053032258,13.0544,45.4736,2228.76,HIGH
58.35357666,0.04883871,12.9824,45.9942,1716.3,HIGH
57.88596484,0.077376345,12.968,46.2412,1985.94,HIGH
57.92510109,0.049741934,12.944,46.5058,2903.58,HIGH
63.9835144,0.064322579,13.04,45.6716,1695.82,HIGH
62.77350438,0.03535484,12.9968,45.4474,1676.88,LOW
56.39473648,0.036451614,12.944,45.547,2682.84,LOW
64.37362569,0.060430109,12.7174,46.6698,2987.12,LOW
63.88766734,0.053591397,12.485,47.1676,2359.62,NORM
63.35897408,0.053096773,12.558,47.1956,1623.26,NORM
59.27260462,0.046709676,12.5484,47.1138,1653.22,NORM
61.34952774,0.040387098,12.3496,47.7134,2276.04,NORM
60.53846207,0.037935484,12.4514,47.6214,1178.6,NORM
59.16644185,0.06,12.316,48.1226,1383.6,HIGH
54.42763176,0.040387095,15.9338,38.9148,2704.9,NORM
58.05263214,0.073161288,15.7432,39.1316,3048.64,NORM
59.04385986,0.073806449,15.724,39.258,2845.26,NORM
57.8,0.055956991,15.4994,38.9454,2966.66,NORM
59.37651825,0.044516129,15.1462,40.181,4398.34,NORM
59.72604713,0.047032258,15.079,40.3718,3567.42,NORM
59.96018944,0.038064516,14.9456,40.6182,2924.08,NORM
54.43859609,0.033806453,13.257,45.879,4477.2,NORM
59.26315765,0.034709678,12.8518,47.1836,1818.8,NORM
58.49999886,0.036967741,12.9104,45.9788,2269.72,NORM
57.89473572,0.033870969,12.92,46.2854,2353.3,NORM
61.66666641,0.038774193,12.799,46.0462,3565.8,NORM
62.95801773,0.03455484,12.775,46.0244,1853.46,NORM
64.0540287,0.066129034,12.6588,46.3826,2514.14,NORM
58.6504715,0.036129031,12.5964,46.9958,2186.16,NORM
58.41565552,0.03948387,12.509,47.5978,3239.46,NORM
58.23670685,0.042064518,12.3208,48.6844,1907.08,NORM
61.17341385,0.042580646,12.384,48.0266,2077.4,NORM
56.93684082,0.036903227,12.389,47.7492,2170.42,LOW
59.93522224,0.033290322,12.4178,47.5918,3896.96,NORM
61.67476387,0.037032257,12.374,47.7908,3061.24,NORM
61.40395889,0.034580646,12.379,47.4822,3922.16,NORM
62.65201263,0.034580646,12.4322,47.4084,1656.36,NORM
60.98178253,0.048903223,12.369,46.669,2307.6,NORM
61.39743538,0.053354837,12.3544,45.7914,1408.84,NORM
64.00732638,0.032430108,12.292,45.684,3893.78,NORM
61.69230843,0.035483871,12.1518,46.573,1516.02,NORM
60.2692318,0.03148387,12.137,46.5834,2484.16,NORM
62.02564049,0.04283871,15.366,60.5836,32280.1,LOW
63.04395472,0.104967743,15.5138,59.8244,32280.1,NORM
61.66666718,0.06129032,15.6666,59.3814,32280.1,LOW
56.94736837,0.047526881,16.3916,58.3762,32280.1,LOW
62.35384445,0.130129029,17.8432,53.6416,32280.1,HIGH
58.60121536,0.042580646,17.7432,52.2628,3207.9,LOW
53.29166667,0.037634409,17.344,54.2708,3622.58,LOW
54.62019272,0.03832258,17.3632,54.0462,3652.52,LOW
61.89608726,0.043935484,17.296,54.0794,3740.84,HIGH
65.71428604,0.037870968,16.8296,56.2428,3600.5,HIGH
62.61153056,0.040430108,16.8536,55.9788,4215.44,HIGH
55.17543818,0.038107527,16.82,56.2354,3285.16,LOW
56.78340034,0.036580646,16.796,55.7934,3226.84,LOW
60.53846016,0.065677418,16.4774,55.636,3665.16,HIGH
62.40170975,0.046107525,16.2722,56.3414,4130.3,LOW
63.78687096,0.036645162,16.2346,56.4088,4962.8,LOW
64.88154246,0.03595699,16.7202,53.53,3433.38,LOW
65.17355766,0.038548387,16.4822,55.46,7996.5,HIGH
62.48155568,0.049591396,16.487,55.4668,3849.64,LOW
62.61538366,0.046387096,16.3776,54.0262,2291.82,HIGH
60.15870514,0.039032258,16.344,54.1688,2449.46,HIGH
63.69230881,0.035548387,16.1866,54.2622,4500.84,LOW
57.86842155,0.040929032,16.3248,54.3068,4779.94,LOW
56.31579056,0.040387097,16.4106,54.1904,4693.2,HIGH
63.05128288,0.041870968,16.6012,53.6784,5520.98,HIGH
62.83333359,0.048580645,17.106,52.7414,2580.34,LOW
60.04588394,0.037109678,17.082,52.454,2566.16,LOW
48.46783562,0.031419354,18.7008,23.653,4055.42,LOW
61.88461533,0.048774192,23.0544,29.8612,1013.08,NORM
61.41025696,0.049032257,22.8528,30.3888,1156.54,LOW
61.13967628,0.041290323,22.7146,30.7194,1348.92,LOW
59.9568161,0.052580644,22.0154,32.263,1516.04,HIGH
68.36233139,0.056064514,21.6904,32.946,1575.98,HIGH
61.53846016,0.051806451,21.7624,32.9524,1653.24,HIGH
63.52564316,0.043354839,21.9678,32.5654,2156.24,HIGH
64.15995026,0.042365592,21.9534,32.0844,2000.12,HIGH
54.50657845,0.044387095,20.5886,34.7758,2160.94,HIGH
54.52302704,0.046064516,20.6648,34.7308,2105.76,HIGH
67.56410141,0.058129032,21.1702,34.5938,3207.9,HIGH
60.3903038,0.039612902,21.127,34.431,1210.14,LOW
60.955513,0.040903225,21.0934,34.382,1028.84,HIGH
60.47300949,0.060193545,20.8362,34.3244,1642.18,HIGH
61.41497917,0.042709676,20.8506,35.5324,1282.68,HIGH
62.17858696,0.060688172,20.9268,35.3946,1266.9,HIGH
64.23443336,0.046516129,21.0416,35.129,2793.22,LOW
55.08350138,0.039655912,20.9936,35.388,997.28,HIGH
56.01973677,0.074580645,21.0744,35.2176,1011.48,HIGH
59.57759628,0.067096773,21.079,35.238,1006.78,HIGH
57.57631546,0.051935482,20.9984,36.926,1662.68,HIGH
60.14102631,0.039354838,21.0128,35.798,1413.56,HIGH
55.94736977,0.057806449,21.1462,35.0666,2285.46,HIGH
65.20175374,0.054494624,21.0934,33.0576,1514.44,HIGH
63.0,0.071741934,21.3708,34.5138,1817.22,HIGH
57.75461146,0.080903225,21.3372,35.0784,1821.92,LOW
52.875,0.03948387,21.1318,34.1146,4269.04,HIGH
56.8148908,0.041870968,21.2038,34.048,2911.48,HIGH
