@relation .a/eda_smooth_ml/eda_smooth_ml
@attribute Sound real [46.22267342, 79.2527832]
@attribute Dust real [0.02916129, 0.39787096]
@attribute TempEN real [10.521, 26.891]
@attribute RH real [17.24, 60.8856]
@attribute Light real [287.76, 32280.1]
@attribute EDA_label {LOW, NORM, HIGH}
@data
64.79853363,0.074709674,13.9396,45.5078,1413.56,NORM
61.39743525,0.073053762,13.3818,45.0138,1779.38,NORM
62.88277028,0.075225804,12.534,47.2918,1541.28,NORM
63.45299225,0.069419352,13.127,42.7552,716.62,LOW
61.8461525,0.035483871,14.0932,45.2954,3334.04,NORM
59.8830424,0.044438708,16.1104,56.0254,5066.88,LOW
62.79487152,0.064322579,21.0652,35.0392,1099.78,LOW
58.68353539,0.117419356,18.2094,32.9672,3751.88,LOW
63.30769234,0.11103226,19.1318,33.8682,16654.44,LOW
62.21794853,0.044193549,19.7792,32.2368,1818.76,NORM
58.04647408,0.044387097,17.891,39.4004,2501.54,NORM
60.65182228,0.049354837,24.6002,31.4582,1352.06,LOW
65.07051544,0.101096777,18.0144,31.6572,17160.58,NORM
59.02631645,0.052322579,18.0714,31.1728,2572.46,NORM
57.3421051,0.103225805,17.0438,31.565,6681.48,NORM
62.48717957,0.096387094,16.201,32.364,7383.1,NORM
