,participant,X,Y,Sound,Dust,TempEN,RH,Light,EDA_peaks,EDA_phase,EDA_label
0,6,681404.174,247353.2056,57.1295546,0.081987095,19.55192,29.39132,1689.96,12,0.54605847,1
1,6,681404.174,247353.2056,57.1295546,0.081987095,19.55192,29.39132,1689.96,1,0.142176949,1
2,6,681404.174,247353.2056,57.1295546,0.081987095,19.55192,29.39132,1689.96,4,0.169681429,1
3,6,681404.174,247353.2056,57.1295546,0.081987095,19.55192,29.39132,1689.96,0,0.031011449,0
4,6,681404.174,247353.2056,57.1295546,0.081987095,19.55192,29.39132,1689.96,0,0.026925908,0
5,6,681398.4785,247370.0842,60.71362976,0.051767741,19.94932,31.33884,1555.472,5,0.117953403,1
6,6,681383.1268,247393.3906,55.00526352,0.051741934,19.67436,31.70364,1955.016,3,0.152470519,1
7,6,681383.9315,247392.5492,55.25232819,0.050193548,19.30896,32.36144,2550.076,2,0.170114844,1
8,6,681377.8496,247399.0631,59.29824615,0.064851611,19.03788,32.94888,2639.328,0,0.036279497,0
9,6,681356.1001,247422.5598,60.43049957,0.047096774,18.61172,33.671,2680.64,2,0.074430638,1
10,6,681340.8478,247443.2361,57.93684265,0.057703227,18.36252,33.96208,2790.688,2,0.193084702,1
11,6,681327.8363,247463.9247,56.93684235,0.055148386,18.07052,34.64112,3937.932,0,0.04560179,0
12,6,681307.1847,247473.5005,57.32361725,0.051096774,17.48272,35.99152,3286.744,0,0.0448289,0
13,6,681300.3615,247507.4504,59.74574936,0.061832256,17.04964,37.19432,3115.504,0,0.074626477,0
14,6,681290.2767,247530.4772,61.35438675,0.054270967,16.82296,37.74584,2651.628,5,0.202350441,1
15,6,681280.4751,247554.8793,58.38515549,0.071225805,16.5344,38.30716,2097.868,3,0.04277289,1
16,6,681282.7731,247571.8306,60.88798889,0.062451611,16.48992,38.1272,2483.852,0,0.038110197,0
17,6,681295.5512,247597.506,60.51471024,0.054580646,15.33856,39.94088,1421.14,0,0.024221485,0
18,6,681314.0623,247592.5154,60.0388089,0.064077419,14.05672,44.68648,1404.104,0,0.046270699,0
19,6,681324.8687,247584.806,62.50244873,0.066580645,14.29048,45.07284,1798.912,0,0.079377892,0
20,6,681328.7092,247583.8209,59.5136647,0.044980645,14.67108,42.8394,2913.056,0,0.036143676,0
21,6,681333.6972,247572.6033,59.43454834,0.052025806,14.58372,41.98088,4143.54,4,0.220308191,1
22,6,681346.9924,247548.6569,61.53900208,0.05396129,14.5962,42.11024,3958.116,0,0.062347536,0
23,6,681370.5143,247530.8183,56.37894745,0.041058064,14.5386,42.20396,3913.972,0,0.035161895,0
24,6,681392.0298,247512.4149,57.52307648,0.066787097,14.45892,41.97176,2135.084,1,0.103118473,1
25,6,681409.7057,247487.6022,60.00647766,0.06756129,14.40708,42.11276,1467.164,0,0.038807856,0
26,6,681434.3127,247479.6934,57.36113434,0.049393549,14.31464,43.45324,1255.252,0,0.042067542,0
27,6,681456.5762,247470.1032,57.06194336,0.053470968,14.21416,43.47896,1752.892,0,0.035548728,0
28,6,681465.7283,247468.2831,56.12024292,0.058632257,14.15272,43.29292,3282.012,6,0.342686566,1
29,6,681468.7695,247468.677,56.90526306,0.049341934,14.06728,43.3016,2379.476,0,0.021631004,0
30,6,681467.1312,247433.0729,60.62646973,0.071690321,13.882,44.036,1778.416,0,0.06498046,0
31,6,681475.5306,247416.4168,62.75465363,0.063458064,13.80712,43.61332,3321.12,0,0.042110433,0
32,6,681476.1179,247414.9052,67.25471481,0.10887742,13.50988,44.46316,3002.62,0,0.03348479,0
33,6,681480.1075,247409.4931,61.31821823,0.039587096,13.48752,44.76148,2223.68,0,0.051154457,0
34,6,681503.3565,247394.1716,61.87179489,0.044748386,13.44324,44.72852,2252.392,0,0.026394272,0
35,6,681515.8169,247390.7292,61.66153778,0.065677418,13.35684,45.00328,1647.552,0,0.026564819,0
